product_name,category,discounted_price,actual_price,discount_percentage,rating,rating_count,manufacturing_cost,price_to_cost_ratio,estimated_units_sold,brand,brand_tier,category_complexity,price_segment,seasonal_relevance,is_new_release,value_ratio,price_elasticity,category_median_price,price_to_category_median_ratio,brand_avg_price,price_to_brand_avg_ratio,rating_x_count,discount_to_margin_ratio,premium_complexity,Unnamed: 25,Unnamed: 26
"TP-Link USB WiFi Adapter for PC(TL-WN725N), N150 Wireless Network Adapter for Desktop - Nano Size WiFi Dongle Compatible with Windows 11/10/7/8/8.1/XP/ Mac OS 10.9-10.15 Linux Kernel 2.6.18-4.4.3",Computers,499.0,998.0,50,4.2,179691,319.81,1.56,7187640,,,,,,,,,949.0,0.5258166491043204,,,754702.2000000001,3.204922761361451,,,
"Wayona Nylon Braided 3A Lightning to USB A Syncing and Fast Charging Data Cable for iPhone, Ipad (3 FT Pack of 1, Black)",Computers,399.0,1108.33,64,4.2,24269,255.72,1.56,970760,,,,,,,,,949.0,0.4204425711275026,,,101929.8,4.102301134542658,,,
"FLiX (Beetel USB to Micro USB PVC Data Sync & 2A Fast Charging Cable, Made in India, 480Mbps Data Sync, Solid Cable, 1 Meter Long USB Cable for Micro USB Devices (White)(XCD-M11)",Computers,59.0,196.67,70,4.0,9378,37.81,1.56,375120,,,,,,,,,949.0,0.0621707060063224,,,37512.0,4.486891865906031,,,
"Amazon Basics High-Speed HDMI Cable, 6 Feet - Supports Ethernet, 3D, 4K video,Black",Home Entertainment,309.0,475.0,35,4.4,426973,198.59,1.56,21348650,,,,,,,,,,,,,1878681.2000000002,2.2434459329530156,,,
7SEVEN® Compatible for Samsung Smart 4K Ultra HD TV Monitor Remote Control Replacement of Original Samsung TV Remote for LED OLED UHD QLED and Suitable for 6 7 8 Series Samsung TV with Hot Keys BN59-01259E,Home Entertainment,399.0,997.5,60,3.6,493,256.43,1.56,24650,,,,,,,,,,,,,1774.8,3.845907313633741,,,
"AmazonBasics Micro USB Fast Charging Cable for Android Phones with Gold Plated Connectors (3 Feet, Black)",Computers,179.0,497.22,64,4.2,92595,114.72,1.56,3703800,,,,,,,,,949.0,0.1886195995785037,,,388899.0,4.102301134542658,,,
Tata Sky Universal Remote,Home Entertainment,230.0,500.0,54,3.7,2960,147.82,1.56,148000,,,,,,,,,,,,,10952.0,3.461316582270367,,,
"TP-LINK WiFi Dongle 300 Mbps Mini Wireless Network USB Wi-Fi Adapter for PC Desktop Laptop(Supports Windows 11/10/8.1/8/7/XP, Mac OS 10.9-10.15 and Linux, WPS, Soft AP Mode, USB 2.0) (TL-WN823N),Black",Computers,649.0,1410.87,54,4.2,179691,415.94,1.56,7187640,,,,,,,,,949.0,0.6838777660695469,,,754702.2000000001,3.461316582270367,,,
"Airtel DigitalTV DTH Television, Setup Box Remote Compatible for SD and HD Recording (Black)",Home Entertainment,179.0,813.64,78,3.7,2201,115.04,1.56,110050,,,,,,,,,,,,,8143.700000000001,4.999679507723863,,,
"Amazon Basics High-Speed HDMI Cable, 6 Feet (2-Pack),Black",Home Entertainment,309.0,1404.55,78,4.4,426973,198.59,1.56,21348650,,,,,,,,,,,,,1878681.2000000002,4.999679507723863,,,
"Model-P4 6 Way Swivel Tilt Wall Mount 32-55-inch Full Motion Cantilever for LED,LCD and Plasma TV's",Home Entertainment,1599.0,3016.98,47,4.2,2727,1027.64,1.56,136350,,,,,,,,,,,,,11453.4,3.012627395679764,,,
"Wayona Usb Nylon Braided Data Sync And Charging Cable For Iphone, Ipad Tablet (Red, Black)",Computers,399.0,1108.33,64,4.2,24269,255.72,1.56,970760,,,,,,,,,949.0,0.4204425711275026,,,101929.8,4.102301134542658,,,
"Flix (Beetel) Usb To Type C Pvc Data Sync And 2A 480Mbps Data Sync, Tough Fast Charging Long Cable For Usb Type C Devices, Charging Adapter (White, 1 Meter) - Xcd-C12",Computers,139.0,248.21,44,4.0,9378,89.08,1.56,375120,,,,,,,,,949.0,0.1464699683877766,,,37512.0,2.820332029998077,,,
"boAt A 350 Type C Cable for Smartphone, Charging Adapter (1.5m, Carbon Black)",Computers,299.0,808.11,63,4.4,28791,191.63,1.56,1151640,,,,,,,,,949.0,0.3150684931506849,,,126680.40000000001,4.038202679315428,,,
"Wayona Nylon Braided (2 Pack) Lightning Fast Usb Data Cable Fast Charger Cord For Iphone, Ipad Tablet (3 Ft Pack Of 2, Grey)",Computers,649.0,2028.13,68,4.2,24269,415.94,1.56,970760,,,,,,,,,949.0,0.6838777660695469,,,101929.8,4.358694955451574,,,
"boAt Deuce USB 300 2 in 1 Type-C & Micro USB Stress Resistant, Sturdy Cable with 3A Fast Charging & 480mbps Data Transmission, 10000+ Bends Lifespan and Extended 1.5m Length(Mercurial Black)",Computers,299.0,695.35,57,4.2,94363,191.63,1.56,3774520,,,,,,,,,949.0,0.3150684931506849,,,396324.60000000003,3.6536119479520544,,,
Lapster USB 3.0 A to Micro B SuperSpeed for hard disk cable - short cable,Computers,199.0,995.0,80,4.1,425,127.54,1.56,17000,,,,,,,,,949.0,0.2096944151738672,,,1742.4999999999998,5.127876418178322,,,
"ZEBRONICS ZEB-USB150WF1 WiFi USB Mini Adapter Supports 150 Mbps Wireless Data, Comes with Advanced Security WPA/WPA2 encryption Standards",Computers,290.0,349.0,17,3.7,1977,185.86,1.56,79080,,,,,,,,,949.0,0.3055848261327713,,,7314.900000000001,1.0896737388628934,,,
"LOHAYA Remote Compatible for Mi Smart LED TV 4A Remote Control (32""/43"") [ Compatible for Mi Tv Remote Control ] [ Compatible for Mi Smart LED Tv Remote Control ]",Home Entertainment,249.0,803.23,69,3.8,1079,160.03,1.56,53950,,,,,,,,,,,,,4100.2,4.4227934106788025,,,
"Gilary Multi Charging Cable, 3 in 1 Nylon Braided Fast Charging Cable for iPhone Micro USB Type C Mobile Phone | Colour May Vary |",Computers,345.0,985.71,65,3.7,1097,221.11,1.56,43880,,,,,,,,,949.0,0.3635405690200211,,,4058.9,4.1663995897698864,,,
TP-Link UE300 USB 3.0 to RJ45 Gigabit Ethernet Network Adapter - Plug and Play,Computers,1099.0,1894.83,42,4.5,22420,704.35,1.56,896800,,,,,,,,,949.0,1.1580611169652266,,,100890.0,2.692135119543619,,,
"Wayona Type C to Lightning MFI Certified 20W Fast charging Nylon Braided USB C Cable for iPhone 14, 14 Pro, 14 Pro Max, 14 Plus, 13, 13 Pro, 13 Pro Max, 13 Mini, 12, 12 Pro, 11, 11 Pro Max iPhone 12 Mini, X, 8 (2M, Grey)",Computers,719.0,1497.92,52,4.1,1045,460.81,1.56,41800,,,,,,,,,949.0,0.7576396206533192,,,4284.5,3.333119671815909,,,
Dealfreez Case Compatible with Fire TV Stick 3rd Gen 2021 Full Wrap Silicone Remote Cover Anti-Lost with Loop (D-Black),Home Entertainment,349.0,1517.39,77,4.3,4145,224.29,1.56,207250,,,,,,,,,,,,,17823.5,4.935581052496635,,,
"Amazon Basics New Release Nylon USB-A to Lightning Cable Cord, Fast Charging MFi Certified Charger for Apple iPhone, iPad (3-Ft, Rose Gold)",Computers,849.0,1806.38,53,4.3,6547,544.12,1.56,261880,,,,,,,,,949.0,0.8946259220231823,,,28152.1,3.397218127043138,,,
Isoelite Remote Compatible for Samsung LED/LCD Remote Control Works with All Samsung LED/LCD TV Model No :- BN59-607A (Please Match The Image with Your Old Remote),Home Entertainment,299.0,906.06,67,4.0,1588,192.16,1.56,79400,,,,,,,,,,,,,6352.0,4.294596500224344,,,
"Wayona Nylon Braided USB Data Sync and Fast Charging 3A Short Power Bank Cable For iPhones, iPad Air, iPad mini, iPod Nano and iPod Touch (Grey)",Computers,349.0,997.14,65,4.2,13120,223.67,1.56,524800,,,,,,,,,949.0,0.3677555321390938,,,55104.0,4.1663995897698864,,,
"Wayona Type C To Type C Long Fast Charging Cable Type C Charger Cord Compatible With Samsung S22 S20 S20 Fe 2022 S22 Ultra S21 Ultra A70 A51 A53 A33 A73 M51 M31 M33 M53 (Grey, 2M, 65W, 6Ft)",Computers,399.0,997.5,60,4.3,2806,255.72,1.56,112240,,,,,,,,,949.0,0.4204425711275026,,,12065.8,3.845907313633741,,,
"Wayona Nylon Braided 2M / 6Ft Fast Charge Usb To Lightning Data Sync And Charging Cable For Iphone, Ipad Tablet (6 Ft Pack Of 1, Grey)",Computers,449.0,1282.86,65,4.2,24269,287.76,1.56,970760,,,,,,,,,949.0,0.4731296101159115,,,101929.8,4.1663995897698864,,,
CROSSVOLT Compatible Dash/Warp Data Sync Fast Charging Cable Supported for All C Type Devices (Cable),Computers,299.0,996.67,70,4.3,766,191.63,1.56,30640,,,,,,,,,949.0,0.3150684931506849,,,3293.7999999999997,4.486891865906031,,,
